 Iv,Is,Ig
0.00481218,0.0132414,0.0282797
0.00488371,0.0134151,0.0285625
0.00495383,0.0135839,0.0288315
0.00502241,0.0137474,0.0290861
0.00508934,0.0139054,0.029326
0.00515451,0.0140575,0.0295505
0.00521779,0.0142035,0.0297594
0.00527908,0.0143431,0.0299522
0.00533827,0.0144761,0.0301286
0.00539525,0.0146022,0.0302884
0.00544994,0.0147211,0.0304312
0.00550223,0.0148328,0.0305569
0.00555203,0.014937,0.0306653
0.00559927,0.0150335,0.0307564
0.00564386,0.0151222,0.03083
0.00568573,0.0152029,0.0308861
0.00572482,0.0152756,0.0309249
0.00576106,0.0153401,0.0309463
0.00579441,0.0153965,0.0309505
0.00582483,0.0154445,0.0309377
0.00585226,0.0154843,0.0309081
0.00587669,0.0155158,0.0308618
0.00589809,0.015539,0.0307993
0.00591645,0.015554,0.0307208
0.00593174,0.0155607,0.0306267
0.00594399,0.0155594,0.0305174
0.00595318,0.01555,0.0303933
0.00595933,0.0155327,0.0302548
0.00596246,0.0155075,0.0301025
0.0059626,0.0154748,0.0299367
0.00595978,0.0154345,0.0297581
0.00595403,0.0153869,0.0295671
0.00594541,0.0153321,0.0293643
0.00593396,0.0152704,0.0291502
0.00591974,0.0152019,0.0289254
0.0059028,0.0151269,0.0286905
0.00588322,0.0150457,0.0284461
0.00586106,0.0149583,0.0281927
0.00583639,0.0148651,0.0279309
0.0058093,0.0147663,0.0276612
0.00577985,0.0146622,0.0273844
0.00574815,0.0145531,0.0271008
0.00571426,0.0144391,0.0268111
0.00567828,0.0143206,0.0265158
0.0056403,0.0141977,0.0262155
0.0056004,0.0140709,0.0259107
0.00555869,0.0139402,0.0256018
0.00551525,0.0138061,0.0252895
0.00547017,0.0136687,0.0249742
0.00542356,0.0135283,0.0246564
0.00537549,0.0133852,0.0243364
0.00532608,0.0132396,0.0240149
0.0052754,0.0130917,0.0236921
0.00522356,0.0129417,0.0233686
0.00517064,0.01279,0.0230446
0.00511672,0.0126368,0.0227206
