t,Sv0,Ss0,Sg0,Sg1,Sg2,Iv0,Is0,Ig0,Ig1,Ig2,Rv0,Rs0,Rg0,Rg1,Rg2,cumIv0,cumIs0,cumIg0,cumIg1,cumIg2,cumIv, Iv,Is,Ig
240,0.159446,0.0968894,0.0967385,0.0967385,0.0967385,0.00381496,0.0135298,0.0135078,0.0135078,0.0135078,0.036739,0.0895808,0.0897537,0.0897537,0.0897537,0.0520102,0.118914,0.119176,0.119176,0.119176,0.0520102,0.0190748,0.0676491,0.067539
241,0.15912,0.0957621,0.0956138,0.0956138,0.0956138,0.00379807,0.0133366,0.013315,0.013315,0.013315,0.0370821,0.0909012,0.0910711,0.0910711,0.0910711,0.0524375,0.120288,0.120548,0.120548,0.120548,0.0524375,0.0189904,0.0666832,0.0665752
242,0.158801,0.0946743,0.0945285,0.0945285,0.0945285,0.0037765,0.0131309,0.0131098,0.0131098,0.0131098,0.0374221,0.0921948,0.0923617,0.0923617,0.0923617,0.0528579,0.121627,0.121885,0.121885,0.121885,0.0528579,0.0188825,0.0656547,0.0655488
243,0.158491,0.0936259,0.0934826,0.0934826,0.0934826,0.00375045,0.0129139,0.0128932,0.0128932,0.0128932,0.0377583,0.0934602,0.0936242,0.0936242,0.0936242,0.0532711,0.12293,0.123185,0.123185,0.123185,0.0532711,0.0187523,0.0645696,0.064466
244,0.15819,0.092617,0.0924761,0.0924761,0.0924761,0.00372013,0.0126868,0.0126665,0.0126665,0.0126665,0.0380903,0.0946962,0.0948574,0.0948574,0.0948574,0.0536767,0.124196,0.12445,0.12445,0.12445,0.0536767,0.0186007,0.0634339,0.0633325
245,0.157897,0.0916475,0.0915088,0.0915088,0.0915088,0.00368576,0.0124507,0.0124309,0.0124309,0.0124309,0.0384176,0.0959018,0.0960603,0.0960603,0.0960603,0.0540744,0.125427,0.125679,0.125679,0.125679,0.0540744,0.0184288,0.0622535,0.0621544
246,0.157613,0.090717,0.0905806,0.0905806,0.0905806,0.00364757,0.0122068,0.0121875,0.0121875,0.0121875,0.0387398,0.0970762,0.0972319,0.0972319,0.0972319,0.0544642,0.126622,0.126872,0.126872,0.126872,0.0544642,0.0182379,0.0610341,0.0609375
247,0.157338,0.0898252,0.0896909,0.0896909,0.0896909,0.00360581,0.0119563,0.0119375,0.0119375,0.0119375,0.0390565,0.0982185,0.0983716,0.0983716,0.0983716,0.0548456,0.127781,0.12803,0.12803,0.12803,0.0548456,0.018029,0.0597815,0.0596873
248,0.157072,0.0889716,0.0888394,0.0888394,0.0888394,0.00356071,0.0117002,0.0116818,0.0116818,0.0116818,0.0393672,0.0993282,0.0994787,0.0994787,0.0994787,0.0552187,0.128905,0.129152,0.129152,0.129152,0.0552187,0.0178035,0.0585009,0.0584092
249,0.156816,0.0881557,0.0880256,0.0880256,0.0880256,0.00351253,0.0114395,0.0114217,0.0114217,0.0114217,0.0396717,0.100405,0.100553,0.100553,0.100553,0.0555832,0.129995,0.13024,0.13024,0.13024,0.0555832,0.0175627,0.0571977,0.0571085
250,0.156569,0.0873769,0.0872487,0.0872487,0.0872487,0.00346153,0.0111754,0.011158,0.011158,0.011158,0.0399695,0.101448,0.101593,0.101593,0.101593,0.0559392,0.13105,0.131294,0.131294,0.131294,0.0559392,0.0173077,0.0558768,0.0557901
251,0.156332,0.0866345,0.0865082,0.0865082,0.0865082,0.00340795,0.0109086,0.0108917,0.0108917,0.0108917,0.0402604,0.102457,0.1026,0.1026,0.1026,0.0562864,0.132072,0.132314,0.132314,0.132314,0.0562864,0.0170398,0.0545429,0.0544587
252,0.156104,0.0859277,0.0858033,0.0858033,0.0858033,0.00335205,0.0106401,0.0106237,0.0106237,0.0106237,0.0405442,0.103432,0.103573,0.103573,0.103573,0.056625,0.133061,0.133301,0.133301,0.133301,0.056625,0.0167603,0.0532004,0.0531187
253,0.155885,0.0852559,0.0851332,0.0851332,0.0851332,0.00329408,0.0103707,0.0103549,0.0103549,0.0103549,0.0408205,0.104373,0.104512,0.104512,0.104512,0.0569548,0.134017,0.134257,0.134257,0.134257,0.0569548,0.0164704,0.0518535,0.0517743
254,0.155676,0.0846181,0.0844971,0.0844971,0.0844971,0.00323427,0.0101012,0.0100859,0.0100859,0.0100859,0.0410892,0.105281,0.105417,0.105417,0.105417,0.0572759,0.134942,0.13518,0.13518,0.13518,0.0572759,0.0161714,0.050506,0.0504293
255,0.155477,0.0840136,0.0838943,0.0838943,0.0838943,0.00317287,0.00983233,0.00981746,0.00981746,0.00981746,0.0413501,0.106154,0.106288,0.106288,0.106288,0.0575883,0.135836,0.136073,0.136073,0.136073,0.0575883,0.0158643,0.0491616,0.0490873
256,0.155287,0.0834415,0.0833238,0.0833238,0.0833238,0.00311009,0.00956471,0.00955033,0.00955033,0.00955033,0.0416031,0.106994,0.107126,0.107126,0.107126,0.0578922,0.1367,0.136936,0.136936,0.136936,0.0578922,0.0155505,0.0478236,0.0477517
257,0.155106,0.0829009,0.0827847,0.0827847,0.0827847,0.00304618,0.00929897,0.00928506,0.00928506,0.00928506,0.041848,0.1078,0.10793,0.10793,0.10793,0.0581874,0.137535,0.13777,0.13777,0.13777,0.0581874,0.0152309,0.0464948,0.0464253
258,0.154934,0.0823909,0.0822762,0.0822762,0.0822762,0.00298132,0.00903564,0.00902221,0.00902221,0.00902221,0.0420847,0.108573,0.108702,0.108702,0.108702,0.0584743,0.138342,0.138575,0.138575,0.138575,0.0584743,0.0149066,0.0451782,0.045111
259,0.154771,0.0819107,0.0817974,0.0817974,0.0817974,0.00291574,0.00877523,0.00876226,0.00876226,0.00876226,0.0423132,0.109314,0.10944,0.10944,0.10944,0.0587528,0.13912,0.139353,0.139353,0.139353,0.0587528,0.0145787,0.0438762,0.0438113
260,0.154617,0.0814592,0.0813473,0.0813473,0.0813473,0.00284962,0.00851818,0.00850566,0.00850566,0.00850566,0.0425333,0.110023,0.110147,0.110147,0.110147,0.059023,0.139872,0.140103,0.140103,0.140103,0.059023,0.0142481,0.0425909,0.0425283
261,0.154472,0.0810357,0.0809251,0.0809251,0.0809251,0.00278314,0.00826489,0.00825281,0.00825281,0.00825281,0.0427451,0.110699,0.110822,0.110822,0.110822,0.0592852,0.140598,0.140828,0.140828,0.140828,0.0592852,0.0139157,0.0413244,0.041264
262,0.154335,0.0806392,0.0805299,0.0805299,0.0805299,0.00271648,0.0080157,0.00800405,0.00800405,0.00800405,0.0429486,0.111345,0.111466,0.111466,0.111466,0.0595394,0.141299,0.141528,0.141528,0.141528,0.0595394,0.0135824,0.0400785,0.0400202
263,0.154206,0.0802689,0.0801608,0.0801608,0.0801608,0.0026498,0.00777091,0.00775968,0.00775968,0.00775968,0.0431438,0.11196,0.11208,0.11208,0.11208,0.0597858,0.141975,0.142203,0.142203,0.142203,0.0597858,0.013249,0.0388546,0.0387984
264,0.154086,0.0799238,0.0798169,0.0798169,0.0798169,0.00258324,0.00753079,0.00751997,0.00751997,0.00751997,0.0433307,0.112545,0.112663,0.112663,0.112663,0.0600246,0.142628,0.142855,0.142855,0.142855,0.0600246,0.0129162,0.037654,0.0375999
265,0.153974,0.0796031,0.0794974,0.0794974,0.0794974,0.00251695,0.00729557,0.00728515,0.00728515,0.00728515,0.0435093,0.113101,0.113217,0.113217,0.113217,0.0602559,0.143258,0.143484,0.143484,0.143484,0.0602559,0.0125848,0.0364778,0.0364257
266,0.153869,0.079306,0.0792014,0.0792014,0.0792014,0.00245106,0.00706542,0.00705539,0.00705539,0.00705539,0.0436797,0.113629,0.113743,0.113743,0.113743,0.0604799,0.143865,0.144091,0.144091,0.144091,0.0604799,0.0122553,0.0353271,0.035277
267,0.153772,0.0790316,0.0789281,0.0789281,0.0789281,0.00238569,0.0068405,0.00683085,0.00683085,0.00683085,0.043842,0.114128,0.114241,0.114241,0.114241,0.0606967,0.144452,0.144677,0.144677,0.144677,0.0606967,0.0119284,0.0342025,0.0341542
268,0.153683,0.0787792,0.0786767,0.0786767,0.0786767,0.00232094,0.00662093,0.00661165,0.00661165,0.00661165,0.0439963,0.1146,0.114712,0.114712,0.114712,0.0609065,0.145017,0.145242,0.145242,0.145242,0.0609065,0.0116047,0.0331047,0.0330582
269,0.1536,0.0785478,0.0784464,0.0784464,0.0784464,0.00225691,0.00640681,0.00639788,0.00639788,0.00639788,0.0441426,0.115045,0.115156,0.115156,0.115156,0.0611096,0.145563,0.145787,0.145787,0.145787,0.0611096,0.0112845,0.032034,0.0319894
270,0.153525,0.0783368,0.0782364,0.0782364,0.0782364,0.00219369,0.00619819,0.0061896,0.0061896,0.0061896,0.0442812,0.115465,0.115574,0.115574,0.115574,0.061306,0.14609,0.146313,0.146313,0.146313,0.061306,0.0109684,0.0309909,0.030948
271,0.153457,0.0781454,0.0780459,0.0780459,0.0780459,0.00213136,0.00599511,0.00598686,0.00598686,0.00598686,0.044412,0.115859,0.115967,0.115967,0.115967,0.0614961,0.146598,0.146821,0.146821,0.146821,0.0614961,0.0106568,0.0299756,0.0299343
272,0.153395,0.0779729,0.0778742,0.0778742,0.0778742,0.00207,0.0057976,0.00578967,0.00578967,0.00578967,0.0445353,0.11623,0.116336,0.116336,0.116336,0.0616798,0.147089,0.14731,0.14731,0.14731,0.0616798,0.01035,0.028988,0.0289484
273,0.153339,0.0778184,0.0777207,0.0777207,0.0777207,0.00200967,0.00560566,0.00559804,0.00559804,0.00559804,0.0446511,0.116576,0.116681,0.116681,0.116681,0.0618575,0.147562,0.147783,0.147783,0.147783,0.0618575,0.0100483,0.0280283,0.0279902
274,0.15329,0.0776815,0.0775846,0.0775846,0.0775846,0.00195041,0.00541926,0.00541194,0.00541194,0.00541194,0.0447597,0.116899,0.117003,0.117003,0.117003,0.0620293,0.148019,0.148239,0.148239,0.148239,0.0620293,0.00975205,0.0270963,0.0270597
275,0.153247,0.0775613,0.0774652,0.0774652,0.0774652,0.00189228,0.00523837,0.00523134,0.00523134,0.00523134,0.0448611,0.1172,0.117303,0.117303,0.117303,0.0621954,0.14846,0.14868,0.14868,0.14868,0.0621954,0.00946142,0.0261918,0.0261567
276,0.153209,0.0774572,0.077362,0.077362,0.077362,0.00183533,0.00506294,0.00505618,0.00505618,0.00505618,0.0449555,0.11748,0.117582,0.117582,0.117582,0.0623559,0.148886,0.149105,0.149105,0.149105,0.0623559,0.00917664,0.0253147,0.0252809
277,0.153177,0.0773686,0.0772742,0.0772742,0.0772742,0.00177957,0.0048929,0.00488642,0.00488642,0.00488642,0.0450432,0.117738,0.117839,0.117839,0.117839,0.062511,0.149296,0.149515,0.149515,0.149515,0.062511,0.00889786,0.0244645,0.0244321
278,0.153151,0.077295,0.0772013,0.0772013,0.0772013,0.00172505,0.00472819,0.00472197,0.00472197,0.00472197,0.0451241,0.117977,0.118077,0.118077,0.118077,0.062661,0.149693,0.149911,0.149911,0.149911,0.062661,0.00862524,0.023641,0.0236098
279,0.15313,0.0772356,0.0771426,0.0771426,0.0771426,0.00167178,0.00456872,0.00456275,0.00456275,0.00456275,0.0451986,0.118196,0.118295,0.118295,0.118295,0.0628059,0.150076,0.150294,0.150294,0.150294,0.0628059,0.00835888,0.0228436,0.0228137
280,0.153114,0.0771899,0.0770977,0.0770977,0.0770977,0.00161977,0.00441441,0.00440867,0.00440867,0.00440867,0.0452667,0.118396,0.118494,0.118494,0.118494,0.0629459,0.150446,0.150663,0.150663,0.150663,0.0629459,0.00809887,0.022072,0.0220434
281,0.153102,0.0771574,0.0770659,0.0770659,0.0770659,0.00156905,0.00426514,0.00425963,0.00425963,0.00425963,0.0453286,0.118577,0.118674,0.118674,0.118674,0.0630812,0.150803,0.15102,0.15102,0.15102,0.0630812,0.00784525,0.0213257,0.0212982
282,0.153096,0.0771376,0.0770467,0.0770467,0.0770467,0.00151961,0.00412082,0.00411554,0.00411554,0.00411554,0.0453845,0.118742,0.118838,0.118838,0.118838,0.063212,0.151148,0.151364,0.151364,0.151364,0.063212,0.00759807,0.0206041,0.0205777
283,0.153094,0.0771299,0.0770397,0.0770397,0.0770397,0.00147147,0.00398134,0.00397627,0.00397627,0.00397627,0.0454346,0.118889,0.118984,0.118984,0.118984,0.0633384,0.151481,0.151697,0.151697,0.151697,0.0633384,0.00735735,0.0199067,0.0198814
284,0.153096,0.0771339,0.0770443,0.0770443,0.0770443,0.00142461,0.00384659,0.00384173,0.00384173,0.00384173,0.045479,0.119019,0.119114,0.119114,0.119114,0.0634605,0.151803,0.152018,0.152018,0.152018,0.0634605,0.00712306,0.019233,0.0192086
285,0.153103,0.0771491,0.0770601,0.0770601,0.0770601,0.00137904,0.00371645,0.00371178,0.00371178,0.00371178,0.045518,0.119134,0.119228,0.119228,0.119228,0.0635785,0.152114,0.152329,0.152329,0.152329,0.0635785,0.00689521,0.0185823,0.0185589
286,0.153114,0.0771749,0.0770866,0.0770866,0.0770866,0.00133475,0.0035908,0.00358632,0.00358632,0.00358632,0.0455515,0.119234,0.119327,0.119327,0.119327,0.0636925,0.152414,0.15263,0.15263,0.15263,0.0636925,0.00667373,0.017954,0.0179316
287,0.153128,0.0772111,0.0771233,0.0771233,0.0771233,0.00129172,0.00346953,0.00346522,0.00346522,0.00346522,0.0455799,0.119319,0.119411,0.119411,0.119411,0.0638027,0.152705,0.15292,0.15292,0.15292,0.0638027,0.0064586,0.0173476,0.0173261
288,0.153147,0.0772571,0.0771699,0.0771699,0.0771699,0.00124995,0.0033525,0.00334837,0.00334837,0.00334837,0.0456033,0.11939,0.119482,0.119482,0.119482,0.0639092,0.152986,0.1532,0.1532,0.1532,0.0639092,0.00624973,0.0167625,0.0167419
289,0.153169,0.0773126,0.077226,0.077226,0.077226,0.00120941,0.00323961,0.00323565,0.00323565,0.00323565,0.0456218,0.119448,0.119538,0.119538,0.119538,0.0640121,0.153258,0.153472,0.153472,0.153472,0.0640121,0.00604705,0.016198,0.0161782
290,0.153194,0.0773772,0.0772911,0.0772911,0.0772911,0.0011701,0.00313072,0.00312692,0.00312692,0.00312692,0.0456356,0.119492,0.119582,0.119582,0.119582,0.0641117,0.153521,0.153734,0.153734,0.153734,0.0641117,0.00585048,0.0156536,0.0156346
291,0.153223,0.0774505,0.0773649,0.0773649,0.0773649,0.00113199,0.00302572,0.00302207,0.00302207,0.00302207,0.0456449,0.119524,0.119613,0.119613,0.119613,0.0642078,0.153775,0.153988,0.153988,0.153988,0.0642078,0.00565993,0.0151286,0.0151104
292,0.153255,0.077532,0.077447,0.077447,0.077447,0.00109506,0.0029245,0.00292099,0.00292099,0.00292099,0.0456497,0.119543,0.119632,0.119632,0.119632,0.0643008,0.154021,0.154234,0.154234,0.154234,0.0643008,0.00547528,0.0146225,0.014605
293,0.15329,0.0776216,0.077537,0.077537,0.077537,0.00105929,0.00282692,0.00282355,0.00282355,0.00282355,0.0456504,0.119551,0.119639,0.119639,0.119639,0.0643908,0.154259,0.154472,0.154472,0.154472,0.0643908,0.00529644,0.0141346,0.0141178
294,0.153328,0.0777188,0.0776348,0.0776348,0.0776348,0.00102466,0.00273287,0.00272964,0.00272964,0.00272964,0.0456469,0.119548,0.119636,0.119636,0.119636,0.0644777,0.154489,0.154702,0.154702,0.154702,0.0644777,0.00512329,0.0136643,0.0136482
295,0.153369,0.0778234,0.0777398,0.0777398,0.0777398,0.000991141,0.00264224,0.00263914,0.00263914,0.00263914,0.0456394,0.119534,0.119621,0.119621,0.119621,0.0645618,0.154712,0.154924,0.154924,0.154924,0.0645618,0.0049557,0.0132112,0.0131957
296,0.153413,0.077935,0.0778519,0.0778519,0.0778519,0.000958713,0.00255491,0.00255193,0.00255193,0.00255193,0.0456282,0.11951,0.119596,0.119596,0.119596,0.0646431,0.154928,0.15514,0.15514,0.15514,0.0646431,0.00479356,0.0127745,0.0127597
297,0.153459,0.0780533,0.0779706,0.0779706,0.0779706,0.000927349,0.00247077,0.00246791,0.00246791,0.00246791,0.0456132,0.119476,0.119561,0.119561,0.119561,0.0647218,0.155137,0.155349,0.155349,0.155349,0.0647218,0.00463674,0.0123539,0.0123396
298,0.153508,0.0781781,0.0780958,0.0780958,0.0780958,0.000897023,0.00238972,0.00238697,0.00238697,0.00238697,0.0455947,0.119432,0.119517,0.119517,0.119517,0.0647979,0.155339,0.155551,0.155551,0.155551,0.0647979,0.00448512,0.0119486,0.0119349
299,0.15356,0.078309,0.0782272,0.0782272,0.0782272,0.00086771,0.00231164,0.002309,0.002309,0.002309,0.0455728,0.119379,0.119464,0.119464,0.119464,0.0648715,0.155535,0.155747,0.155747,0.155747,0.0648715,0.00433855,0.0115582,0.011545
300,0.153613,0.0784459,0.0783645,0.0783645,0.0783645,0.000839383,0.00223643,0.0022339,0.0022339,0.0022339,0.0455475,0.119318,0.119402,0.119402,0.119402,0.0649428,0.155726,0.155937,0.155937,0.155937,0.0649428,0.00419692,0.0111822,0.0111695
301,0.153669,0.0785884,0.0785075,0.0785075,0.0785075,0.000812016,0.00216399,0.00216156,0.00216156,0.00216156,0.0455191,0.119248,0.119331,0.119331,0.119331,0.0650118,0.15591,0.156121,0.156121,0.156121,0.0650118,0.00406008,0.01082,0.0108078
302,0.153727,0.0787364,0.0786558,0.0786558,0.0786558,0.000785582,0.00209423,0.00209189,0.00209189,0.00209189,0.0454877,0.119169,0.119252,0.119252,0.119252,0.0650786,0.156088,0.1563,0.1563,0.1563,0.0650786,0.00392791,0.0104711,0.0104594
303,0.153787,0.0788895,0.0788094,0.0788094,0.0788094,0.000760055,0.00202704,0.00202479,0.00202479,0.00202479,0.0454533,0.119083,0.119166,0.119166,0.119166,0.0651432,0.156262,0.156473,0.156473,0.156473,0.0651432,0.00380027,0.0101352,0.0101239
304,0.153849,0.0790476,0.0789678,0.0789678,0.0789678,0.000735409,0.00196233,0.00196017,0.00196017,0.00196017,0.045416,0.11899,0.119072,0.119072,0.119072,0.0652058,0.15643,0.15664,0.15664,0.15664,0.0652058,0.00367704,0.00981163,0.00980083
305,0.153912,0.0792104,0.0791311,0.0791311,0.0791311,0.000711617,0.00190001,0.00189793,0.00189793,0.00189793,0.0453761,0.11889,0.118971,0.118971,0.118971,0.0652664,0.156593,0.156803,0.156803,0.156803,0.0652664,0.00355809,0.00950003,0.00948964
306,0.153978,0.0793778,0.0792989,0.0792989,0.0792989,0.000688655,0.00183999,0.00183799,0.00183799,0.00183799,0.0453335,0.118782,0.118863,0.118863,0.118863,0.0653252,0.156751,0.156961,0.156961,0.156961,0.0653252,0.00344327,0.00919994,0.00918996
307,0.154045,0.0795496,0.079471,0.079471,0.079471,0.000666496,0.00178219,0.00178027,0.00178027,0.00178027,0.0452884,0.118668,0.118749,0.118749,0.118749,0.0653821,0.156904,0.157115,0.157115,0.157115,0.0653821,0.00333248,0.00891094,0.00890134
308,0.154114,0.0797255,0.0796473,0.0796473,0.0796473,0.000645115,0.00172652,0.00172468,0.00172468,0.00172468,0.0452409,0.118548,0.118628,0.118628,0.118628,0.0654372,0.157053,0.157264,0.157264,0.157264,0.0654372,0.00322558,0.00863262,0.00862338
309,0.154184,0.0799054,0.0798276,0.0798276,0.0798276,0.000624488,0.00167291,0.00167113,0.00167113,0.00167113,0.0451911,0.118422,0.118501,0.118501,0.118501,0.0654906,0.157198,0.157408,0.157408,0.157408,0.0654906,0.00312244,0.00836456,0.00835567
310,0.154256,0.0800891,0.0800116,0.0800116,0.0800116,0.000604591,0.00162128,0.00161957,0.00161957,0.00161957,0.0451391,0.11829,0.118369,0.118369,0.118369,0.0655424,0.157339,0.157549,0.157549,0.157549,0.0655424,0.00302296,0.0081064,0.00809785
311,0.15433,0.0802765,0.0801993,0.0801993,0.0801993,0.000585399,0.00157155,0.0015699,0.0015699,0.0015699,0.0450849,0.118152,0.118231,0.118231,0.118231,0.0655927,0.157475,0.157685,0.157685,0.157685,0.0655927,0.002927,0.00785775,0.00784952
312,0.154404,0.0804673,0.0803905,0.0803905,0.0803905,0.00056689,0.00152365,0.00152207,0.00152207,0.00152207,0.0450287,0.118009,0.118087,0.118087,0.118087,0.0656414,0.157608,0.157818,0.157818,0.157818,0.0656414,0.00283445,0.00761826,0.00761033
313,0.15448,0.0806615,0.080585,0.080585,0.080585,0.000549041,0.00147751,0.00147599,0.00147599,0.00147599,0.0449705,0.117861,0.117939,0.117939,0.117939,0.0656886,0.157737,0.157946,0.157946,0.157946,0.0656886,0.0027452,0.00738757,0.00737994
314,0.154558,0.0808588,0.0807827,0.0807827,0.0807827,0.000531828,0.00143307,0.0014316,0.0014316,0.0014316,0.0449104,0.117708,0.117786,0.117786,0.117786,0.0657345,0.157862,0.158072,0.158072,0.158072,0.0657345,0.00265914,0.00716536,0.00715801
315,0.154636,0.0810592,0.0809834,0.0809834,0.0809834,0.000515232,0.00139026,0.00138884,0.00138884,0.00138884,0.0448486,0.117551,0.117628,0.117628,0.117628,0.065779,0.157984,0.158193,0.158193,0.158193,0.065779,0.00257616,0.00695129,0.00694421
316,0.154716,0.0812625,0.081187,0.081187,0.081187,0.000499229,0.00134901,0.00134765,0.00134765,0.00134765,0.044785,0.117389,0.117465,0.117465,0.117465,0.0658222,0.158103,0.158312,0.158312,0.158312,0.0658222,0.00249615,0.00674506,0.00673824
317,0.154796,0.0814685,0.0813933,0.0813933,0.0813933,0.000483801,0.00130927,0.00130796,0.00130796,0.00130796,0.0447197,0.117222,0.117299,0.117299,0.117299,0.0658641,0.158218,0.158427,0.158427,0.158427,0.0658641,0.002419,0.00654637,0.0065398
318,0.154878,0.0816772,0.0816023,0.0816023,0.0816023,0.000468926,0.00127099,0.00126972,0.00126972,0.00126972,0.0446529,0.117052,0.117128,0.117128,0.117128,0.0659048,0.15833,0.158539,0.158539,0.158539,0.0659048,0.00234463,0.00635493,0.00634859
319,0.154961,0.0818884,0.0818138,0.0818138,0.0818138,0.000454586,0.00123409,0.00123287,0.00123287,0.00123287,0.0445845,0.116878,0.116953,0.116953,0.116953,0.0659443,0.15844,0.158648,0.158648,0.158648,0.0659443,0.00227293,0.00617045,0.00616434
320,0.155045,0.082102,0.0820277,0.0820277,0.0820277,0.00044076,0.00119854,0.00119736,0.00119736,0.00119736,0.0445147,0.116699,0.116775,0.116775,0.116775,0.0659827,0.158546,0.158755,0.158755,0.158755,0.0659827,0.0022038,0.00599268,0.00598679
321,0.155129,0.0823179,0.0822439,0.0822439,0.0822439,0.000427432,0.00116427,0.00116313,0.00116313,0.00116313,0.0444435,0.116518,0.116593,0.116593,0.116593,0.0660201,0.15865,0.158858,0.158858,0.158858,0.0660201,0.00213716,0.00582135,0.00581567
322,0.155214,0.082536,0.0824623,0.0824623,0.0824623,0.000414583,0.00113124,0.00113015,0.00113015,0.00113015,0.0443709,0.116333,0.116408,0.116408,0.116408,0.0660563,0.15875,0.158959,0.158959,0.158959,0.0660563,0.00207291,0.00565622,0.00565073
323,0.155301,0.0827561,0.0826828,0.0826828,0.0826828,0.000402195,0.00109941,0.00109835,0.00109835,0.00109835,0.0442971,0.116144,0.116219,0.116219,0.116219,0.0660916,0.158849,0.159057,0.159057,0.159057,0.0660916,0.00201098,0.00549704,0.00549175
324,0.155388,0.0829783,0.0829052,0.0829052,0.0829052,0.000390253,0.00106872,0.0010677,0.0010677,0.0010677,0.0442221,0.115953,0.116027,0.116027,0.116027,0.0661259,0.158945,0.159153,0.159153,0.159153,0.0661259,0.00195126,0.0053436,0.00533849
325,0.155475,0.0832023,0.0831295,0.0831295,0.0831295,0.000378739,0.00103913,0.00103814,0.00103814,0.00103814,0.0441459,0.115759,0.115832,0.115832,0.115832,0.0661592,0.159038,0.159246,0.159246,0.159246,0.0661592,0.0018937,0.00519566,0.00519072
326,0.155564,0.0834281,0.0833556,0.0833556,0.0833556,0.000367639,0.0010106,0.00100965,0.00100965,0.00100965,0.0440686,0.115561,0.115635,0.115635,0.115635,0.0661917,0.159129,0.159337,0.159337,0.159337,0.0661917,0.00183819,0.00505301,0.00504825
327,0.155653,0.0836557,0.0835834,0.0835834,0.0835834,0.000356936,0.000983093,0.000982172,0.000982172,0.000982172,0.0439902,0.115361,0.115434,0.115434,0.115434,0.0662233,0.159218,0.159426,0.159426,0.159426,0.0662233,0.00178468,0.00491546,0.00491086
328,0.155743,0.0838848,0.0838128,0.0838128,0.0838128,0.000346617,0.000956562,0.000955673,0.000955673,0.000955673,0.0439109,0.115159,0.115231,0.115231,0.115231,0.066254,0.159304,0.159512,0.159512,0.159512,0.066254,0.00173309,0.00478281,0.00477836
329,0.155833,0.0841155,0.0840438,0.0840438,0.0840438,0.000336668,0.000930974,0.000930114,0.000930114,0.000930114,0.0438305,0.114954,0.115026,0.115026,0.115026,0.0662839,0.159389,0.159597,0.159597,0.159597,0.0662839,0.00168334,0.00465487,0.00465057
330,0.155924,0.0843476,0.0842762,0.0842762,0.0842762,0.000327074,0.000906292,0.00090546,0.00090546,0.00090546,0.0437493,0.114746,0.114818,0.114818,0.114818,0.066313,0.159471,0.159679,0.159679,0.159679,0.066313,0.00163537,0.00453146,0.0045273
331,0.156015,0.0845812,0.08451,0.08451,0.08451,0.000317822,0.00088248,0.000881676,0.000881676,0.000881676,0.0436672,0.114536,0.114608,0.114608,0.114608,0.0663414,0.159552,0.15976,0.15976,0.15976,0.0663414,0.00158911,0.0044124,0.00440838
332,0.156107,0.084816,0.0847451,0.0847451,0.0847451,0.000308901,0.000859507,0.00085873,0.00085873,0.00085873,0.0435842,0.114324,0.114396,0.114396,0.114396,0.066369,0.159631,0.159838,0.159838,0.159838,0.066369,0.0015445,0.00429754,0.00429365
333,0.156199,0.0850521,0.0849815,0.0849815,0.0849815,0.000300297,0.00083734,0.000836588,0.000836588,0.000836588,0.0435005,0.114111,0.114182,0.114182,0.114182,0.066396,0.159707,0.159915,0.159915,0.159915,0.066396,0.00150148,0.0041867,0.00418294
334,0.156292,0.0852894,0.085219,0.085219,0.085219,0.000291998,0.000815948,0.00081522,0.00081522,0.00081522,0.0434159,0.113895,0.113966,0.113966,0.113966,0.0664222,0.159783,0.15999,0.15999,0.15999,0.0664222,0.00145999,0.00407974,0.0040761
335,0.156385,0.0855278,0.0854577,0.0854577,0.0854577,0.000283994,0.000795303,0.000794598,0.000794598,0.000794598,0.0433307,0.113677,0.113748,0.113748,0.113748,0.0664478,0.159856,0.160063,0.160063,0.160063,0.0664478,0.00141997,0.00397651,0.00397299
336,0.156479,0.0857672,0.0856973,0.0856973,0.0856973,0.000276273,0.000775375,0.000774692,0.000774692,0.000774692,0.0432448,0.113457,0.113528,0.113528,0.113528,0.0664728,0.159928,0.160135,0.160135,0.160135,0.0664728,0.00138137,0.00387688,0.00387346
337,0.156573,0.0860077,0.085938,0.085938,0.085938,0.000268825,0.000756138,0.000755477,0.000755477,0.000755477,0.0431582,0.113236,0.113307,0.113307,0.113307,0.0664971,0.159998,0.160205,0.160205,0.160205,0.0664971,0.00134412,0.00378069,0.00377738
338,0.156667,0.086249,0.0861796,0.0861796,0.0861796,0.000261639,0.000737565,0.000736925,0.000736925,0.000736925,0.0430711,0.113013,0.113083,0.113083,0.113083,0.0665209,0.160066,0.160274,0.160274,0.160274,0.0665209,0.0013082,0.00368783,0.00368462
339,0.156762,0.0864912,0.0864221,0.0864221,0.0864221,0.000254707,0.000719633,0.000719012,0.000719012,0.000719012,0.0429833,0.112789,0.112859,0.112859,0.112859,0.0665441,0.160133,0.160341,0.160341,0.160341,0.0665441,0.00127353,0.00359816,0.00359506
340,0.156857,0.0867343,0.0866654,0.0866654,0.0866654,0.000248017,0.000702315,0.000701714,0.000701714,0.000701714,0.042895,0.112563,0.112633,0.112633,0.112633,0.0665667,0.160199,0.160406,0.160406,0.160406,0.0665667,0.00124009,0.00351158,0.00350857
